NAME	PRICE	DURATION
Разбор колтунов и вычесывание	1 000	1 час
Обработка антипаразитарной косметикой
малые породы	300	нет
средние породы	350	нет
крупные породы	400	нет
Обработка лап+окантовка		
малые породы	350	10 минут
средние породы	400	15 минут
крупные породы	450	15 минут
Окантовка ушей		
малые породы	300	10 минут
средние породы	300	15 минут
крупные породы	350	15 минут
Выстригание «пуделиных» лапок	200	10-15 минут
Бритье морды КХС, Пуделю 	350	10 минут
Гигиенический уход щенка		
малые породы	500	30 минут
средние породы	800	40 минут
крупные породы	1000	1 час
SPA-процедуры
Озонотерапия	600	нет
Маска
малые породы	400	нет
средние породы	500	нет
крупные породы	600	нет
