BREED	PRICE	PRICE_WITH_TRIMMING	DURATION	COMMENT
Мелкие породы
Бивер-йоркширский терьер	2 000		2-2,5	
Бишон фризе	2 400		2,5-3	
Грифон	2 000	2 500	2,5-3	
Йоркширский терьер	1 900		2-2,5	
Китайская хохлатая голая	2 000		2	
Китайская хохлатая пуховка	2 000		2-2,5	
Мальтийская болонка	2 100		2-2,5	
Папильон	1 700		2	
Пекинес	2 200		2-2,5	
Петербургская орхидея	1 900		2-2,5	
Пудель той (до 24 см)	2 300		2,5-3	стрижка "модерн"
Той-терьер	1 500		1.5	
Чихуахуа	1 500		1.5	
Ши-тцу	2 100		2-2,5	
Шпиц померанский	1 900		2	
Шпиц малый	2 100		2-2,5	
Шпиц средний	2 400		2,5-3	
Японский хин	1 500		2	
Метисы 2-10 кг	1 500 - 2 200		2-2,5
Средние породы
Американский кокер спаниэль	2 600	3 000	3-3,5	
Английский кокер спаниэль	2 400	3 000	3	
Бедлингтон	2 400		2,5-3	
Вельш-терьер	2 300	2 800	2,5-3	
Вест-хайленд-уайт-терьер	2 200	2 500	2,5-3	
Джек-рассел-терьер	1 800	2 000	2	
Парсон-рассел-терьер	2 000	2 200	2-2,5	
Керн терьер	2 000	2 500	2-2,5	
Лейкленд-терьер	2 300	2 800	2,5-3	
Лхаса апсо	2 300		2-2,5	
Миттельшнауцер	2 600	3 200	3-3,5	
Норвич-терьер	2 000	2 500	2-2,5	
Норфолк-терьер	2 000	2 500	2,5-3	
Пудель карликовый (до 35 см)	2 600		3 -3,5	стрижка "модерн"
Пудель малый/средний (до 46 см)	2 900		3,5-4	стрижка "модерн"
Скотч-терьер	2 400	2 800	2,5-3	
Такса до 5 кг	1 500	1 800	2	
Такса от 8 кг	1 700	2 000		
Такса от 15 кг	2 000	2 200		
Фокстерьер	2 300	2 800	2,5-3	
Цвергшнауцер	2 200	2 800	2,5-3	
Метисы 10-20 кг	2 200-3 100		2-2,5
Крупные породы
Керри-блю-терьер	3 000		3,5-4	
Пудель королевский	4 500		от 4	
Ризеншнауцер	от 3 300	от 4 000	4-4,5	
Русский черный терьер	от 4 000		4	
Самоед	1 500/час		3,5-4	
Хаски	от 3 000		3,5-4	
Эрдельтерьер	3 000	от 4 000	4-4,5	
Метисы от 20 кг	от 3 100		3,5-4
