BREED	PRICE	DURATION
мериканский кокер-спаниэль	2 100	2-2,5
Английский кокер-спаниэль	2 100	2-2,5
Бивер-йоркширский терьер	1 600	2
Бишон фризе	2 000	2
Вест хайленд уайт терьер	1 800	2
Грифон	1 700	2
Йоркширский терьер	1 700	1,5-2
Мальтийская болонка	1 800	2
Пекинес	1 900	2
Китайская хохлатая пуховка	1 800	2
Китайская хохлатая голая	1 800	2
Пудель той (до 24 см)	1 800	2
Пудель карликовыйй (25-30 см)	2 000	2.5
Пудель средний (35-47 см)	2 300	3
Пудель стандартный/королевский	2 800	3-3,5
Русский черный терьер	4 000	2,5-3
Французский бульдог	1 700	1.5
Цвергшнауцер	2 300	2
Чихуахуа	1 400	1,5-2
Ши-тцу	1 900	2
Шпиц померанский	1 400	1,5-2
Шпиц малый (23-29 см)	1 600	1,5-2
Шпиц средний (30-38 см)	1 800	2
Японский хин	1 500	1,5-2
