NAME	PRICE	DURATION
Гигиеническая обработка (основание хвоста, области паха и заднего прохода)
малые породы	350	10 минут
средние породы	400	15 минут
крупные породы	450	15 минут
Чистка и тримминг ушной раковины	300	10-15 минут
Подстригание когтей		
малые породы	200	10 минут
средние породы	250	10 минут
крупные породы	300	15 минут
Механическая чистка зубов пастой и обработка спреем	300	15 минут
Чистка и промывание глаз	300	15 минут
Обработка от паразитов	500	10 минут
Обработка воском подушечек лап		
малые породы	200	10 минут
средние породы	250	10 минут
крупные породы	350	15 минут
